Date,Symbol,TimeStamp,QuoteCount,TradeCount,OpenPx,ClosePx,HighPx,LowPx
20130719,6A,2013-07-19 09:13:00.000337767,269,10,1.0300000,1.0300000,1.0300000,1.0300000
20130719,FDAX,2013-07-19 09:13:00.000337767,569,30,7847.5000000,7849.0000000,7849.5000000,7847.5000000
20130719,LFZ,2013-07-19 09:13:00.000337767,105,8,6385.5000000,6386.5000000,6386.5000000,6385.5000000
20130719,EUR/GBP,2013-07-19 09:13:00.000337767,134,0,0.8429250,0.8429250,0.8429250,0.8429250
20130719,6A,2013-07-19 09:14:00.000428954,281,3,1.0299000,1.0299000,1.0299000,1.0299000
20130719,FDAX,2013-07-19 09:14:00.000428954,704,42,7849.0000000,7847.0000000,7849.5000000,7846.0000000
20130719,LFZ,2013-07-19 09:14:00.000428954,237,9,6386.0000000,6384.5000000,6386.0000000,6384.5000000
20130719,EUR/GBP,2013-07-19 09:14:00.000428954,154,2,0.8431500,0.8431000,0.8431500,0.8431000
20130719,6A,2013-07-19 09:15:00.000546969,244,15,1.0300000,1.0300000,1.0300000,1.0300000
20130719,FDAX,2013-07-19 09:15:00.000546969,709,29,7847.5000000,7849.0000000,7849.5000000,7847.0000000
20130719,LFZ,2013-07-19 09:15:00.000546969,179,14,6385.0000000,6384.5000000,6385.0000000,6384.5000000
20130719,EUR/GBP,2013-07-19 09:15:00.000546969,108,0,0.8430750,0.8430750,0.8430750,0.8430750
20130719,6A,2013-07-19 09:16:00.000558012,388,19,1.0300000,1.0298000,1.0300000,1.0298000
20130719,FDAX,2013-07-19 09:16:00.000558012,557,33,7848.5000000,7847.5000000,7849.5000000,7847.5000000
20130719,LFZ,2013-07-19 09:16:00.000558012,156,7,6384.0000000,6384.0000000,6385.0000000,6384.0000000
20130719,EUR/GBP,2013-07-19 09:16:00.000558012,113,0,0.8432500,0.8432500,0.8432500,0.8432500
20130719,6A,2013-07-19 09:17:00.000546518,244,11,1.0298000,1.0298000,1.0298000,1.0297000
20130719,FDAX,2013-07-19 09:17:00.000546518,513,20,7847.5000000,7847.5000000,7848.5000000,7847.0000000
20130719,LFZ,2013-07-19 09:17:00.000546518,100,5,6384.0000000,6384.5000000,6384.5000000,6384.0000000
20130719,EUR/GBP,2013-07-19 09:17:00.000546518,147,2,0.8431000,0.8430000,0.8431000,0.8430000
20130719,6A,2013-07-19 09:18:00.000427487,669,55,1.0297000,1.0298000,1.0298000,1.0296000
20130719,FDAX,2013-07-19 09:18:00.000427487,977,63,7847.0000000,7851.0000000,7852.0000000,7847.0000000
20130719,LFZ,2013-07-19 09:18:00.000427487,324,20,6384.5000000,6386.0000000,6386.0000000,6384.0000000
20130719,EUR/GBP,2013-07-19 09:18:00.000427487,115,1,0.8428500,0.8428500,0.8428500,0.8428500
20130719,6A,2013-07-19 09:19:00.000180269,446,36,1.0298000,1.0298000,1.0299000,1.0298000
20130719,FDAX,2013-07-19 09:19:00.000180269,577,58,7851.5000000,7854.0000000,7854.0000000,7851.0000000
20130719,LFZ,2013-07-19 09:19:00.000180269,198,13,6386.0000000,6386.0000000,6386.5000000,6385.5000000
20130719,EUR/GBP,2013-07-19 09:19:00.000180269,53,0,0.8428750,0.8428750,0.8428750,0.8428750
20130719,6A,2013-07-19 09:20:00.000456643,471,40,1.0297000,1.0296000,1.0298000,1.0296000
20130719,FDAX,2013-07-19 09:20:00.000456643,972,39,7853.0000000,7852.5000000,7853.0000000,7850.5000000
20130719,LFZ,2013-07-19 09:20:00.000456643,437,43,6385.5000000,6386.0000000,6387.5000000,6385.5000000
20130719,EUR/GBP,2013-07-19 09:20:00.000456643,42,1,0.8429000,0.8429000,0.8429000,0.8429000
20130719,6A,2013-07-19 09:21:00.000427773,349,13,1.0296000,1.0297000,1.0297000,1.0296000
20130719,FDAX,2013-07-19 09:21:00.000427773,776,32,7852.5000000,7851.0000000,7853.5000000,7851.0000000
20130719,LFZ,2013-07-19 09:21:00.000427773,178,7,6385.5000000,6384.5000000,6386.0000000,6384.5000000
20130719,EUR/GBP,2013-07-19 09:21:00.000427773,180,5,0.8428000,0.8428500,0.8429000,0.8427500
20130719,6A,2013-07-19 09:22:00.000467226,426,45,1.0296000,1.0297000,1.0297000,1.0296000
20130719,FDAX,2013-07-19 09:22:00.000467226,984,68,7851.5000000,7854.5000000,7856.0000000,7851.5000000
20130719,LFZ,2013-07-19 09:22:00.000467226,355,30,6384.5000000,6386.0000000,6386.0000000,6384.5000000
20130719,EUR/GBP,2013-07-19 09:22:00.000467226,85,5,0.8429000,0.8429500,0.8429500,0.8429000
20130719,6A,2013-07-19 09:23:00.000428076,397,32,1.0297000,1.0296000,1.0297000,1.0296000
20130719,FDAX,2013-07-19 09:23:00.000428076,868,52,7854.0000000,7851.5000000,7855.0000000,7851.0000000
20130719,LFZ,2013-07-19 09:23:00.000428076,274,13,6385.0000000,6384.5000000,6385.0000000,6384.5000000
20130719,EUR/GBP,2013-07-19 09:23:00.000428076,50,2,0.8429500,0.8429500,0.8429500,0.8429500
20130719,6A,2013-07-19 09:24:00.000456285,253,0,1.0296500,1.0296500,1.0296500,1.0296500
20130719,FDAX,2013-07-19 09:24:00.000456285,646,33,7851.0000000,7849.5000000,7851.0000000,7849.5000000
20130719,LFZ,2013-07-19 09:24:00.000456285,173,10,6384.0000000,6384.0000000,6384.5000000,6384.0000000
20130719,EUR/GBP,2013-07-19 09:24:00.000456285,123,2,0.8427500,0.8427500,0.8427500,0.8427500
20130719,6A,2013-07-19 09:25:00.000072636,655,29,1.0296000,1.0296000,1.0296000,1.0296000
20130719,FDAX,2013-07-19 09:25:00.000072636,873,39,7849.5000000,7848.5000000,7852.0000000,7848.5000000
20130719,LFZ,2013-07-19 09:25:00.000072636,359,38,6384.5000000,6382.5000000,6385.0000000,6381.5000000
20130719,EUR/GBP,2013-07-19 09:25:00.000072636,103,5,0.8428000,0.8428000,0.8428500,0.8428000
20130719,6A,2013-07-19 09:26:00.000551667,187,9,1.0296000,1.0295000,1.0296000,1.0295000
20130719,FDAX,2013-07-19 09:26:00.000551667,1180,73,7848.5000000,7846.5000000,7850.5000000,7845.5000000
20130719,LFZ,2013-07-19 09:26:00.000551667,423,37,6382.0000000,6380.5000000,6383.0000000,6380.5000000
20130719,EUR/GBP,2013-07-19 09:26:00.000551667,119,5,0.8427500,0.8426000,0.8427500,0.8426000
20130719,6A,2013-07-19 09:27:00.000554732,342,22,1.0295000,1.0295000,1.0295000,1.0295000
20130719,FDAX,2013-07-19 09:27:00.000554732,1183,113,7845.5000000,7844.5000000,7845.5000000,7843.0000000
20130719,LFZ,2013-07-19 09:27:00.000554732,520,47,6380.5000000,6379.0000000,6380.5000000,6377.5000000
20130719,EUR/GBP,2013-07-19 09:27:00.000554732,161,2,0.8426000,0.8425000,0.8426000,0.8425000
20130719,6A,2013-07-19 09:28:00.000544913,404,22,1.0295000,1.0295000,1.0296000,1.0295000
20130719,FDAX,2013-07-19 09:28:00.000544913,1211,92,7845.0000000,7842.5000000,7845.5000000,7841.0000000
20130719,LFZ,2013-07-19 09:28:00.000544913,498,42,6379.0000000,6378.0000000,6379.5000000,6376.5000000
20130719,EUR/GBP,2013-07-19 09:28:00.000544913,119,3,0.8425500,0.8425000,0.8425500,0.8425000
20130719,6A,2013-07-19 09:29:00.000555589,286,12,1.0296000,1.0296000,1.0296000,1.0295000
20130719,FDAX,2013-07-19 09:29:00.000555589,971,51,7843.0000000,7843.0000000,7844.0000000,7841.5000000
20130719,LFZ,2013-07-19 09:29:00.000555589,277,21,6378.5000000,6380.0000000,6380.5000000,6378.5000000
20130719,EUR/GBP,2013-07-19 09:29:00.000555589,37,0,0.8423750,0.8423750,0.8423750,0.8423750
20130719,6A,2013-07-19 09:30:00.000719769,478,47,1.0295000,1.0296000,1.0296000,1.0295000
20130719,FDAX,2013-07-19 09:30:00.000719769,908,67,7843.0000000,7845.0000000,7845.5000000,7842.5000000
20130719,LFZ,2013-07-19 09:30:00.000719769,229,22,6380.0000000,6380.0000000,6381.0000000,6380.0000000
20130719,EUR/GBP,2013-07-19 09:30:00.000719769,65,1,0.8426000,0.8426000,0.8426000,0.8426000
20130719,6A,2013-07-19 09:31:00.000544674,315,10,1.0295000,1.0295000,1.0295000,1.0295000
20130719,FDAX,2013-07-19 09:31:00.000544674,632,47,7844.5000000,7842.5000000,7845.0000000,7842.0000000
20130719,LFZ,2013-07-19 09:31:00.000544674,277,16,6379.5000000,6378.0000000,6379.5000000,6378.0000000
20130719,EUR/GBP,2013-07-19 09:31:00.000544674,141,10,0.8425000,0.8424000,0.8425000,0.8423500
20130719,6A,2013-07-19 09:32:00.000546243,310,13,1.0295000,1.0295000,1.0295000,1.0294000
20130719,FDAX,2013-07-19 09:32:00.000546243,767,49,7843.0000000,7844.0000000,7844.0000000,7841.5000000
20130719,LFZ,2013-07-19 09:32:00.000546243,302,29,6377.5000000,6378.5000000,6379.0000000,6376.5000000
20130719,EUR/GBP,2013-07-19 09:32:00.000546243,124,4,0.8424000,0.8422000,0.8424000,0.8422000
20130719,6A,2013-07-19 09:33:00.000428229,176,7,1.0296000,1.0297000,1.0297000,1.0296000
20130719,FDAX,2013-07-19 09:33:00.000428229,907,52,7844.5000000,7845.5000000,7846.5000000,7844.0000000
20130719,LFZ,2013-07-19 09:33:00.000428229,233,18,6378.5000000,6379.5000000,6380.0000000,6378.5000000
20130719,EUR/GBP,2013-07-19 09:33:00.000428229,131,6,0.8421000,0.8421000,0.8421000,0.8421000
20130719,6A,2013-07-19 09:34:00.000543571,504,20,1.0296000,1.0295000,1.0296000,1.0295000
20130719,FDAX,2013-07-19 09:34:00.000543571,808,35,7845.5000000,7845.5000000,7846.5000000,7844.0000000
20130719,LFZ,2013-07-19 09:34:00.000543571,301,18,6379.5000000,6379.5000000,6380.0000000,6378.5000000
20130719,EUR/GBP,2013-07-19 09:34:00.000543571,124,4,0.8421000,0.8419500,0.8421000,0.8419500
20130719,6A,2013-07-19 09:35:00.000545986,110,2,1.0294000,1.0295000,1.0295000,1.0294000
20130719,FDAX,2013-07-19 09:35:00.000545986,575,22,7845.5000000,7844.5000000,7846.0000000,7843.5000000
20130719,LFZ,2013-07-19 09:35:00.000545986,116,4,6380.0000000,6378.5000000,6380.0000000,6378.5000000
20130719,EUR/GBP,2013-07-19 09:35:00.000545986,194,3,0.8418500,0.8418000,0.8418500,0.8418000
20130719,6A,2013-07-19 09:36:00.000540870,83,3,1.0294000,1.0295000,1.0295000,1.0294000
20130719,FDAX,2013-07-19 09:36:00.000540870,334,17,7844.5000000,7846.0000000,7846.0000000,7844.5000000
20130719,LFZ,2013-07-19 09:36:00.000540870,106,16,6379.0000000,6379.5000000,6380.0000000,6378.5000000
20130719,EUR/GBP,2013-07-19 09:36:00.000540870,98,1,0.8419000,0.8419000,0.8419000,0.8419000
20130719,6A,2013-07-19 09:37:00.000427958,201,21,1.0295000,1.0296000,1.0296000,1.0295000
20130719,FDAX,2013-07-19 09:37:00.000427958,574,15,7845.5000000,7844.5000000,7845.5000000,7844.5000000
20130719,LFZ,2013-07-19 09:37:00.000427958,111,9,6379.5000000,6379.5000000,6379.5000000,6379.0000000
20130719,EUR/GBP,2013-07-19 09:37:00.000427958,52,3,0.8420000,0.8420000,0.8420000,0.8420000
20130719,6A,2013-07-19 09:38:00.000552346,155,13,1.0296000,1.0296000,1.0296000,1.0295000
20130719,FDAX,2013-07-19 09:38:00.000552346,333,6,7844.5000000,7845.0000000,7845.5000000,7844.0000000
20130719,LFZ,2013-07-19 09:38:00.000552346,124,4,6379.5000000,6380.0000000,6380.0000000,6379.5000000
20130719,EUR/GBP,2013-07-19 09:38:00.000552346,70,1,0.8420000,0.8420000,0.8420000,0.8420000
20130719,6A,2013-07-19 09:39:00.000428117,278,15,1.0296000,1.0297000,1.0297000,1.0296000
20130719,FDAX,2013-07-19 09:39:00.000428117,420,28,7845.0000000,7848.0000000,7848.0000000,7845.0000000
20130719,LFZ,2013-07-19 09:39:00.000428117,143,15,6380.5000000,6381.5000000,6381.5000000,6380.5000000
20130719,EUR/GBP,2013-07-19 09:39:00.000428117,98,4,0.8419500,0.8420500,0.8420500,0.8419500
20130719,6A,2013-07-19 09:40:00.000460021,305,15,1.0296000,1.0298000,1.0298000,1.0296000
20130719,FDAX,2013-07-19 09:40:00.000460021,1264,100,7847.0000000,7851.0000000,7852.5000000,7847.0000000
20130719,LFZ,2013-07-19 09:40:00.000460021,316,28,6381.5000000,6384.0000000,6384.0000000,6381.5000000
20130719,EUR/GBP,2013-07-19 09:40:00.000460021,62,0,0.8421000,0.8421000,0.8421000,0.8421000
20130719,6A,2013-07-19 09:41:00.000558009,249,25,1.0297000,1.0297000,1.0298000,1.0297000
20130719,FDAX,2013-07-19 09:41:00.000558009,611,32,7851.0000000,7850.5000000,7852.5000000,7850.5000000
20130719,LFZ,2013-07-19 09:41:00.000558009,160,11,6382.5000000,6381.5000000,6382.5000000,6381.5000000
20130719,EUR/GBP,2013-07-19 09:41:00.000558009,99,1,0.8420000,0.8420000,0.8420000,0.8420000
20130719,6A,2013-07-19 09:42:00.000427365,337,13,1.0297000,1.0297000,1.0298000,1.0297000
20130719,FDAX,2013-07-19 09:42:00.000427365,696,32,7850.0000000,7849.0000000,7851.5000000,7849.0000000
20130719,LFZ,2013-07-19 09:42:00.000427365,176,17,6381.0000000,6381.5000000,6381.5000000,6381.0000000
